,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid,cluster_label
4887,0.077620055,0.0157788,0.166666667,0.058885657,0.09246704,0.595454466,0.2513546,0.040368779,0.031142759,0.183633011,0.183807676,0.605714286,0.294,0,0,0,0.166247968,0
359,0.111226532,0.195413347,0.166666667,0.171283685,0.367821236,0.801417228,0.270693412,0.0775542,0.048802891,0.576726325,0.283311772,0.301714286,0.043,0.003767824,0.642525534,0.410687023,0.194806833,1
4497,0.110893989,0.135255976,0.166666667,0.129799425,0.779616585,0.205863771,0.288617308,0.072115918,0.048617715,0.257579749,0.205799914,0.485714286,0.157,0.003172943,0,0,0.210617832,2
4642,0.07831575,0.222318376,0.166666667,0.025350912,0.296786045,0.522393552,0.202753961,0.054853567,0.031485896,0.251188776,0.253234153,0.588571429,0.262,0.003199269,0,0,0.111848431,0
486,0.093974438,0.096035575,0.166666667,0.14997306,0.318920321,0.778987336,0.265759929,0.057066989,0.039465735,0.585335422,0.274040535,0.282285714,0.328,0.00812919,0.791086351,0.647328244,0.187950395,1
1060,0.117139185,0.240563665,0.166666667,0.035996024,0.252578086,0.851246083,0.267240788,0.086015202,0.052128606,0.467594582,0.218305304,0.508,0.048,0.004873309,0.627669452,0.514503817,0.186488767,1
3957,0.083614575,0.232308404,0.166666667,0.070206506,0.032310871,0.081243638,0.209822319,0.059591762,0.034131685,0.32617526,0.224018974,0.52,0.61,0.006882815,0,0,0.122989789,2
5705,0.118234655,0.204295096,0.166666667,0.022302542,0.188954292,0.995510112,0.280900613,0.083580493,0.052751639,0.339179017,0.186718413,0.548571429,0.07,0.005028032,0,0,0.202357512,0
1578,0.133281509,0.139134373,0.166666667,0.128111633,0.51151861,0.777838754,0.331724967,0.088427922,0.061521496,0.445496513,0.247843898,0.427428571,0.043,0,0.598885794,0.441221374,0.261251268,1
5539,0.09018437,0.347771041,0.166666667,0.066534691,0.619579889,0.346454981,0.190804833,0.073242218,0.037489952,0.233346735,0.156856404,0.628571429,0.341,0,0,0,0.100446444,2
