full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,diameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
  4408 Zlata Koruna (1988 TH2),2.322465589,0.105376754,,4.363382718,219.9223829,64.33955921,2.077731705,2.567199473,3.539420275,25533,0,2306,12.9,,,,,,,,N,N,1.06529
  4409 Kissling (1989 MD),3.031573123,0.100951564,,5.360328201,348.892924,336.5799938,2.725531075,3.337615171,5.278496943,19897,0,2018,12.4,12.087,0.144,,,,,,N,N,1.714
  4410 Kamuimintara (1989 YA),3.056048921,0.092797323,,11.12954825,44.59497967,321.059125,2.772455762,3.33964208,5.34255074,16741,0,2040,12,14.494,0.135,4.9349,,,,,N,N,1.78175
  4411 Kochibunkyo (1990 AF),2.166862633,0.092158039,,2.255718068,88.4487961,10.25155621,1.967168821,2.366556445,3.189739914,16573,0,2253,13.9,4.433,0.271,2.6958,,,,,N,N,0.984192
  4412 Chephren (2535 P-L),3.128249536,0.171914612,,2.177671785,136.9220982,212.7139578,2.59045773,3.666041342,5.532995099,23688,0,1962,12.9,14.763,0.071,,,,,,N,N,1.58371
  4413 Mycerinos (4020 P-L),2.365491696,0.072305175,,2.265393516,212.417852,183.7350644,2.194454405,2.536528987,3.63823162,21305,0,2043,13.8,5.119,0.223,,,,,,N,N,1.20035
  4414 Sesostris (4153 P-L),2.334102377,0.117161671,,7.747504181,350.5928633,119.7922274,2.060635043,2.607569711,3.566055135,21413,0,1519,14.3,8.984,0.047,,,,,,N,N,1.08964
  4415 Echnaton (4237 P-L),2.337634526,0.064386874,,2.011939841,328.9769904,174.8962723,2.187121546,2.488147507,3.574152854,24987,0,1351,15.2,,,,,,,,N,N,1.19969
  4416 Ramses (4530 P-L),2.153174214,0.172816737,,1.17800991,208.3454408,163.4817527,1.781069671,2.525278757,3.15956255,23545,0,1323,15.3,,,,,,,,N,N,0.780307
  4417 Lecar (1931 GC),2.758991769,0.106750936,,9.004548824,356.2338629,225.2105822,2.464466816,3.053516722,4.582830656,32311,0,2083,12,11.1,0.36,3.1758,,,S,,N,N,1.46716
  4418 Fredfranklin (1931 TR1),2.581987645,0.154052664,,12.66404065,203.8330661,82.52910858,2.184225569,2.979749721,4.148961855,31884,0,2265,12.8,7.03,0.326,4.819,,,,,N,N,1.21146
  4419 Allancook (1932 HD),3.056406331,0.215087505,,0.40982778,231.716977,295.6160284,2.399011518,3.713801144,5.343487998,31923,0,2288,12.5,,,5.275,,,,,N,N,1.40644
  4420 Alandreev (1936 PB),2.674061348,0.317970143,,6.906290994,302.4405697,1.278094669,1.82378968,3.524333015,4.372856765,30349,0,2002,12.5,16.028,0.064,,,,,,N,N,0.807772
