,full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
198,   199 Byblis,0.4551896431597607,0.4590787720146241,0.10526315789473682,0.4379963245784419,0.24637589414102978,0.5006380572569183,0.44120097050813767,0.46624875015850986,0.38223071488855065,0.661629764179011,0,0.15198846569746485,0.5626326963906583,0.09247967479674797,0.0021255914122789783,0.0,0.0,X,0,N,E,0.4299457926497397
199,   200 Dynamene,0.34177331731334504,0.3339837776667139,0.10526315789473682,0.18862309868672827,0.9024760575387356,0.23871345469494437,0.37597987167265007,0.3147304420291425,0.2739874692307985,0.6628198302589959,0,0.16015859665985824,0.5371549893842889,0.03760162601626016,0.029689177832735305,0.6943648519579751,0.5725190839694656,Ch,C,N,E,0.376550785430417
200,   201 Penelope,0.32567033521444677,0.45762398437982943,0.5263157894736842,0.15556587099331867,0.4366511624559535,0.5015380596689903,0.3214302731289249,0.3290224262583524,0.25926159765500173,0.6627102189095236,0,0.19944731467019103,0.5552016985138005,0.024390243902439025,0.0008639198797197907,0.6876790830945559,0.35572519083969467,X,M,N,E,0.3124900149501207
201,   202 Chryseis,0.42925125304398815,0.2617857302190227,0.10526315789473682,0.24548396099868744,0.38038654754630963,0.0,0.48786617017493705,0.3829117158411314,0.3567916983624721,0.6619429394632176,0,0.1563138291481437,0.4479830148619958,0.24410569105691055,0.017931739038111634,0.8357211079274117,0.7251908396946565,0,S,N,E,0.4856634992308315
202,   203 Pompeja,0.3409033706014697,0.14423619238220903,0.10526315789473682,0.08058714920786027,0.9676505707435169,0.16472326589098776,0.43581274212188154,0.2658703146585215,0.2731877325231515,0.6620055745200589,0,0.18683167127237774,0.5902335456475585,0.020325203252032523,0.01825900088739364,0.6704871060171921,0.4473282442748091,0,DCX:,N,E,0.43269271559960404
203,   204 Kallisto,0.3232030302931875,0.4435812660562219,0.10526315789473682,0.2291210912411553,0.5707115102954748,0.15244291065121313,0.3235208270314691,0.32295178779278133,0.25701982967914155,0.6617863518211142,0,0.20052865553286076,0.6040339702760087,0.18089430894308942,0.014349849530655963,0.7765042979942693,0.6335877862595419,0,S,N,E,0.31681950249103497
204,   205 Martha,0.3517642470081456,0.08668297956978606,0.10526315789473682,0.2990296276158168,0.5892971414746297,0.4907454470669212,0.46607497209142634,0.2613929494365809,0.28320614984558967,0.6596567598885096,0,0.1893547999519404,0.640127388535032,0.04573170731707317,0.010427847577742295,0.6571155682903533,0.5343511450381678,Ch,C,N,E,0.4609442013599827
205,   206 Hersilia,0.3420223467536622,0.09192623668315394,0.10526315789473682,0.09820408995140677,0.40354126249369404,0.8409650215169154,0.4537621381552649,0.25368356723903723,0.27421648815058614,0.661723716764273,0,0.21254355400696864,0.5817409766454353,0.04166666666666667,0.007181786983685963,0.6590257879656161,0.5267175572519084,C,C,N,E,0.45309155196332795
206,   207 Hedda,0.2200537800919199,0.06805026940908815,0.10526315789473682,0.09891819152763565,0.08111803217765108,0.5389537325939019,0.32728535710653167,0.13527908622031984,0.16685924547309539,0.6450314741160628,0,0.2235972606031479,0.713375796178344,0.04268292682926829,0.023438647852731347,0.6895893027698186,0.5938931297709924,Ch,C,N,E,0.31862170057095685
207,   208 Lacrimosa,0.3822682378186119,0.0249832829425617,0.10526315789473682,0.039164237730711086,0.011632636903702424,0.2992337807236535,0.5202226704507149,0.2732047965256313,0.3117367132447151,0.537941185681626,0,0.22335696263366575,0.6114649681528664,0.19308943089430894,0.00972020808165084,0.8032473734479465,0.6213740458015268,Sk,S,N,E,0.5188552341518643
